id_cliente,importe_solicitado,duracion_credito,situacion_vivienda,ingresos,objetivo_credito,pct_ingreso,tasa_interes,falta_pago,antiguedad_cliente,estado_cliente,gastos_ult_12m,genero,limite_credito_tc,nivel_educativo,operaciones_ult_12m,personas_a_cargo,estado_civil_N,estado_credito_N,antiguedad_empleado_N,edad_N,ratio_gasto_limite_tc,falta_pago_bin
713061558.0,35000,3,ALQUILER,59000,PERSONAL,0.59,16.02,Y,36.0,ACTIVO,1088.0,M,4010.0,UNIVERSITARIO_COMPLETO,24.0,2.0,C,C,sin_categoria,menor_25,0.2713216957605985,1
768805383.0,1000,2,PROPIA,9600,EDUCACIÓN,0.1,11.14,N,39.0,ACTIVO,1144.0,M,12691.0,SECUNDARIO_COMPLETO,42.0,3.0,C,P,5_a_10,menor_25,0.09014262075486565,0
818770008.0,5500,3,HIPOTECA,9600,SALUD,0.57,12.87,N,44.0,ACTIVO,1291.0,F,8256.0,UNIVERSITARIO_COMPLETO,33.0,5.0,S,C,menor_5,25_a_30,0.15637112403100775,0
713982108.0,35000,2,ALQUILER,65500,SALUD,0.53,15.23,N,36.0,ACTIVO,1887.0,M,3418.0,UNIVERSITARIO_COMPLETO,20.0,3.0,C,C,5_a_10,menor_25,0.5520772381509654,0
710821833.0,35000,4,ALQUILER,54400,SALUD,0.55,14.27,Y,54.0,ACTIVO,1314.0,M,9095.0,DESCONOCIDO,26.0,1.0,C,C,5_a_10,25_a_30,0.1444749862561847,1
769911858.0,2500,2,PROPIA,9900,INVERSIONES,0.25,7.14,N,34.0,ACTIVO,1171.0,F,3313.0,SECUNDARIO_COMPLETO,20.0,4.0,N,C,menor_5,menor_25,0.353456082100815,0
709106358.0,35000,3,ALQUILER,77100,EDUCACIÓN,0.45,12.42,N,21.0,ACTIVO,816.0,M,4716.0,UNIVERSITARIO_INCOMPLETO,28.0,3.0,C,C,5_a_10,25_a_30,0.17302798982188294,0
810347208.0,35000,4,ALQUILER,78956,SALUD,0.44,11.11,N,46.0,ACTIVO,1330.0,M,34516.0,DESCONOCIDO,31.0,4.0,C,C,5_a_10,25_a_30,0.038532854328427395,0
818906208.0,35000,2,ALQUILER,83000,PERSONAL,0.42,8.9,N,27.0,ACTIVO,1538.0,M,29081.0,SECUNDARIO_COMPLETO,36.0,0.0,N,C,5_a_10,25_a_30,0.05288676455417626,0
710930508.0,1600,3,PROPIA,10000,INVERSIONES,0.16,14.74,N,36.0,ACTIVO,1350.0,M,22352.0,UNIVERSITARIO_INCOMPLETO,24.0,3.0,S,C,5_a_10,menor_25,0.06039727988546886,0
719661558.0,35000,4,ALQUILER,85000,INVERSIONES,0.41,10.37,N,36.0,ACTIVO,1441.0,M,11656.0,UNIVERSITARIO_COMPLETO,32.0,2.0,S,C,5_a_10,menor_25,0.12362731640356897,0
708790833.0,4500,2,PROPIA,10000,MEJORAS_HOGAR,0.45,8.63,N,31.0,ACTIVO,1201.0,M,6748.0,UNIVERSITARIO_INCOMPLETO,42.0,5.0,N,C,menor_5,menor_25,0.17797866034380558,0
710599683.0,35000,2,ALQUILER,95000,INVERSIONES,0.37,7.9,N,36.0,ACTIVO,1539.0,M,11751.0,UNIVERSITARIO_INCOMPLETO,17.0,1.0,S,C,menor_5,menor_25,0.13096757722747,0
816082233.0,35000,4,ALQUILER,108160,EDUCACIÓN,0.32,18.39,N,30.0,ACTIVO,1311.0,M,8547.0,UNIVERSITARIO_COMPLETO,33.0,3.0,N,C,5_a_10,25_a_30,0.1533871533871534,0
712396908.0,35000,4,ALQUILER,115000,EDUCACIÓN,0.3,7.9,N,48.0,ACTIVO,1570.0,F,2436.0,UNIVERSITARIO_COMPLETO,29.0,2.0,C,P,menor_5,menor_25,0.6444991789819376,0
714885258.0,30000,3,HIPOTECA,500000,PAGO_DEUDAS,0.06,10.65,N,37.0,ACTIVO,1348.0,M,4234.0,DESCONOCIDO,27.0,4.0,N,P,5_a_10,menor_25,0.31837505904581953,0
709967358.0,35000,4,ALQUILER,120000,EDUCACIÓN,0.29,7.9,N,36.0,ACTIVO,1671.0,M,30367.0,POSGRADO_INCOMPLETO,27.0,4.0,S,P,menor_5,menor_25,0.05502683834425528,0
753327333.0,35000,4,ALQUILER,92111,SALUD,0.32,20.25,N,34.0,ACTIVO,1028.0,M,13535.0,DESCONOCIDO,21.0,3.0,C,C,5_a_10,menor_25,0.0759512375323236,0
806160108.0,35000,4,ALQUILER,113000,PAGO_DEUDAS,0.31,18.25,N,56.0,ACTIVO,1336.0,M,3193.0,SECUNDARIO_COMPLETO,30.0,1.0,C,C,5_a_10,menor_25,0.4184152834325086,0
709327383.0,1750,2,HIPOTECA,10800,EDUCACIÓN,0.16,10.99,N,37.0,ACTIVO,1207.0,F,14470.0,UNIVERSITARIO_COMPLETO,21.0,2.0,C,C,5_a_10,25_a_30,0.0834139599170698,0
806165208.0,35000,4,ALQUILER,162500,INVERSIONES,0.22,7.49,N,42.0,ACTIVO,1178.0,M,20979.0,POSGRADO_COMPLETO,27.0,1.0,D,P,menor_5,25_a_30,0.05615138948472282,0
708508758.0,34800,2,ALQUILER,137000,PERSONAL,0.25,16.77,Y,49.0,PASIVO,692.0,F,1438.3,UNIVERSITARIO_COMPLETO,16.0,0.0,C,P,5_a_10,25_a_30,0.4811235486338038,1
784725333.0,34000,4,ALQUILER,65000,EDUCACIÓN,0.52,17.58,N,33.0,ACTIVO,931.0,M,4470.0,SECUNDARIO_COMPLETO,18.0,3.0,C,C,5_a_10,menor_25,0.20827740492170022,0
811604133.0,1500,3,PROPIA,10980,PERSONAL,0.14,7.29,N,36.0,ACTIVO,1126.0,F,2492.0,DESCONOCIDO,23.0,4.0,S,P,menor_5,25_a_30,0.4518459069020867,0
789124683.0,33950,4,ALQUILER,80000,PERSONAL,0.42,14.54,Y,42.0,ACTIVO,1110.0,M,12217.0,DESCONOCIDO,21.0,2.0,C,C,menor_5,menor_25,0.09085700253744781,1
771071958.0,33000,3,ALQUILER,67746,MEJORAS_HOGAR,0.49,12.68,N,28.0,ACTIVO,1051.0,F,7768.0,UNIVERSITARIO_COMPLETO,22.0,3.0,S,C,5_a_10,25_a_30,0.13529866117404737,0
788658483.0,4575,3,HIPOTECA,11000,INVERSIONES,0.42,17.74,Y,38.0,ACTIVO,1411.0,F,2650.0,UNIVERSITARIO_INCOMPLETO,28.0,2.0,C,C,menor_5,menor_25,0.5324528301886793,1
720466383.0,1400,3,PROPIA,11000,PERSONAL,0.13,9.32,N,46.0,ACTIVO,1197.0,M,14784.0,SECUNDARIO_COMPLETO,23.0,1.0,N,P,menor_5,menor_25,0.08096590909090909,0
804424383.0,32500,3,ALQUILER,65000,MEJORAS_HOGAR,0.5,9.99,N,56.0,ACTIVO,1904.0,M,10215.0,DESCONOCIDO,40.0,1.0,C,C,5_a_10,25_a_30,0.1863925599608419,0
715318008.0,4000,2,OTROS,11389,EDUCACIÓN,0.35,12.84,Y,36.0,ACTIVO,1407.0,F,3520.0,UNIVERSITARIO_INCOMPLETO,43.0,1.0,S,C,5_a_10,menor_25,0.3997159090909091,1
718813833.0,2000,3,PROPIA,11520,SALUD,0.17,11.12,N,34.0,ACTIVO,1052.0,F,10100.0,UNIVERSITARIO_INCOMPLETO,18.0,3.0,S,C,5_a_10,menor_25,0.10415841584158415,0
806624208.0,32000,2,ALQUILER,120000,INVERSIONES,0.27,6.62,N,42.0,ACTIVO,1045.0,M,4785.0,SECUNDARIO_COMPLETO,38.0,4.0,C,P,menor_5,25_a_30,0.21839080459770116,0
778348233.0,31050,3,ALQUILER,95000,MEJORAS_HOGAR,0.33,14.17,Y,33.0,ACTIVO,1038.0,M,2753.0,DESCONOCIDO,25.0,3.0,C,C,5_a_10,25_a_30,0.3770432255721032,1
712991808.0,24250,3,ALQUILER,306000,PAGO_DEUDAS,0.08,13.85,N,48.0,ACTIVO,1596.0,M,2451.0,UNIVERSITARIO_INCOMPLETO,26.0,2.0,C,P,menor_5,25_a_30,0.6511627906976745,0
709029408.0,7800,4,HIPOTECA,300000,SALUD,0.03,13.49,N,36.0,ACTIVO,1589.0,M,8923.0,UNIVERSITARIO_COMPLETO,24.0,4.0,C,P,mayor_10,25_a_30,0.17807912137173595,0
787937058.0,2500,4,PROPIA,12000,EDUCACIÓN,0.21,7.51,N,49.0,ACTIVO,1291.0,M,12555.0,UNIVERSITARIO_COMPLETO,24.0,0.0,C,C,5_a_10,menor_25,0.10282755874153723,0
713962233.0,30000,2,ALQUILER,48000,EDUCACIÓN,0.63,18.39,N,36.0,ACTIVO,1877.0,F,3035.0,UNIVERSITARIO_COMPLETO,37.0,3.0,C,C,menor_5,menor_25,0.6184514003294893,0
708300483.0,30000,3,ALQUILER,64000,PAGO_DEUDAS,0.47,14.54,Y,56.0,PASIVO,704.0,F,7882.0,POSGRADO_COMPLETO,16.0,0.0,C,C,5_a_10,25_a_30,0.08931743212382644,1
778493808.0,30000,4,ALQUILER,75000,MEJORAS_HOGAR,0.4,16.89,Y,37.0,ACTIVO,1756.0,M,3906.0,SECUNDARIO_COMPLETO,32.0,3.0,C,C,5_a_10,25_a_30,0.4495647721454173,1
715190283.0,30000,2,ALQUILER,62050,SALUD,0.41,17.99,N,49.0,ACTIVO,1464.0,F,3672.0,UNIVERSITARIO_COMPLETO,28.0,1.0,N,C,5_a_10,25_a_30,0.39869281045751637,0
827111283.0,2500,3,PROPIA,12000,INVERSIONES,0.21,12.69,N,41.0,ACTIVO,1109.0,M,32426.0,UNIVERSITARIO_COMPLETO,28.0,3.0,S,C,5_a_10,25_a_30,0.034200949855054584,0
758551608.0,20000,4,HIPOTECA,300000,INVERSIONES,0.07,7.88,N,44.0,ACTIVO,1347.0,M,6205.0,DESCONOCIDO,28.0,2.0,C,P,mayor_10,25_a_30,0.2170829975825947,0
779471883.0,24250,2,PROPIA,300000,EDUCACIÓN,0.08,19.41,Y,40.0,PASIVO,705.0,F,1438.3,UNIVERSITARIO_COMPLETO,19.0,1.0,C,P,menor_5,menor_25,0.4901619968017799,1
773146383.0,10000,4,PROPIA,300000,MEJORAS_HOGAR,0.03,10.38,N,43.0,ACTIVO,1756.0,F,17304.0,UNIVERSITARIO_INCOMPLETO,33.0,1.0,S,P,5_a_10,25_a_30,0.10147942672214517,0
720572508.0,25000,3,HIPOTECA,300000,EDUCACIÓN,0.08,15.33,N,28.0,ACTIVO,1042.0,F,9830.0,UNIVERSITARIO_COMPLETO,23.0,4.0,S,P,menor_5,25_a_30,0.10600203458799592,0
712661433.0,18000,3,HIPOTECA,300000,MEJORAS_HOGAR,0.06,16.45,N,30.0,ACTIVO,1444.0,M,34516.0,UNIVERSITARIO_INCOMPLETO,28.0,4.0,S,P,5_a_10,25_a_30,0.041835670413721174,0
789172683.0,30000,3,ALQUILER,80690,PERSONAL,0.37,7.49,N,45.0,ACTIVO,1741.0,M,2283.0,POSGRADO_COMPLETO,27.0,2.0,C,C,5_a_10,25_a_30,0.762593079281647,0
738406533.0,30000,3,ALQUILER,66300,SALUD,0.38,12.69,N,52.0,ACTIVO,1719.0,M,2548.0,POSGRADO_COMPLETO,27.0,1.0,C,C,5_a_10,menor_25,0.6746467817896389,0
799723908.0,30000,3,ALQUILER,89028,PAGO_DEUDAS,0.34,6.62,N,40.0,ACTIVO,1217.0,M,19458.0,SECUNDARIO_COMPLETO,27.0,3.0,C,C,menor_5,25_a_30,0.06254496865042657,0
714091983.0,30000,3,ALQUILER,78000,PAGO_DEUDAS,0.38,18.62,Y,34.0,ACTIVO,1168.0,M,3336.0,SECUNDARIO_COMPLETO,27.0,2.0,S,C,5_a_10,menor_25,0.3501199040767386,1
771490833.0,30000,3,ALQUILER,92004,PERSONAL,0.33,15.23,Y,40.0,ACTIVO,1140.0,M,4745.0,UNIVERSITARIO_INCOMPLETO,40.0,1.0,S,C,5_a_10,menor_25,0.24025289778714437,1
720756708.0,30000,2,ALQUILER,97000,INVERSIONES,0.31,10.65,N,41.0,ACTIVO,1878.0,F,2622.0,DESCONOCIDO,30.0,3.0,C,C,5_a_10,menor_25,0.7162471395881007,0
711525033.0,30000,4,ALQUILER,120000,EDUCACIÓN,0.25,7.9,N,54.0,ACTIVO,1946.0,F,3171.0,SECUNDARIO_COMPLETO,38.0,0.0,C,P,5_a_10,25_a_30,0.6136865342163356,0
